,Estado,Cidade,Valor_aluguel,Valor_condomínio,Valor_iptu,Área_total,Qt_quartos,Qt_vagas,Qt_banheiros,Academia,Acesso_para_deficientes,Ar_condicionado,Área_de_serviço,Armário_embutido,Armário_na_cozinha,Bicicletário,Churrasqueira,Circuito_de_segurança,Conexão_à_internet,Elevador,Espaço_gourmet,Garagem,Interfone,Lavanderia,Mobiliado,Piscina,Playground,Quadra_de_tênis,Quadra_poliesportiva,Salão_de_festas,Sauna,Segurança_24h,Sistema_de_alarme,Spa,Varanda
17334,pe,recife,4000.0,0.0,0.0,143.0,4.0,2.0,4.0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
11260,sc,florianopolis,600.0,0.0,0.0,75.0,2.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,mg,belo horizonte,2700.0,530.0,200.0,100.0,2.0,2.0,2.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10789,sc,florianopolis,1350.0,467.0,79.0,81.0,3.0,1.0,2.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18588,se,aracaju,1500.0,700.0,0.0,125.0,3.0,1.0,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0
419,mg,belo horizonte,2350.0,571.0,265.0,65.0,2.0,2.0,2.0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
922,mg,belo horizonte,2100.0,463.0,187.0,170.0,4.0,2.0,1.0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9446,ba,salvador,1500.0,778.0,162.0,40.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5408,sp,sao-paulo,960.0,440.0,0.0,55.0,2.0,1.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5788,pi,teresina,500.0,0.0,0.0,40.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15374,ce,fortaleza,1400.0,556.0,96.0,65.0,2.0,1.0,2.0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1
17586,pe,recife,1900.0,0.0,0.0,31.0,1.0,1.0,1.0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
8389,go,goiania,1100.0,150.0,40.0,40.0,2.0,2.0,1.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1970,am,manaus,1250.0,0.0,0.0,65.0,3.0,1.0,1.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
11302,sc,florianopolis,1600.0,549.0,182.0,86.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4018,sp,sao-paulo,2300.0,490.0,62.0,66.0,2.0,1.0,2.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
3687,mt,cuiaba,10000.0,0.0,0.0,226.0,4.0,0.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
18381,pb,joao-pessoa,1200.0,0.0,0.0,57.0,2.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12790,rs,porto-alegre,2600.0,530.0,1.0,72.0,2.0,1.0,2.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11246,sc,florianopolis,140.0,0.0,0.0,50.0,1.0,0.0,1.0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
1248,mg,belo horizonte,2500.0,438.0,187.0,90.0,3.0,2.0,2.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2192,ms,campo-grande,1300.0,760.0,332.0,77.0,3.0,1.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
9184,ba,salvador,2700.0,0.0,0.0,50.0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0
18574,se,aracaju,2165.0,0.0,119.0,110.0,4.0,1.0,2.0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1
4670,sp,sao-paulo,13300.0,2400.0,1730.0,236.0,3.0,4.0,4.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
5984,rj,rio-de-janeiro,1650.0,650.0,1022.0,40.0,1.0,0.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6565,rj,rio-de-janeiro,2850.0,1175.0,216.0,74.0,2.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7804,go,goiania,2000.0,350.0,0.0,60.0,2.0,1.0,2.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1
11954,al,maceio,1000.0,630.0,113.0,58.0,2.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6943,rj,rio-de-janeiro,3000.0,955.0,310.0,64.0,2.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9510,ba,salvador,2599.0,1.0,1.0,48.0,1.0,1.0,1.0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0
10535,sc,florianopolis,3200.0,686.0,211.0,94.0,3.0,2.0,2.0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
